iid,iid_clean,gender,wave,round,position,pid,match,int_corr,samerace,age_o,race_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,dec_o,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,like_o,prob_o,met_o,age,field,field_cd,undergra,race,imprace,imprelig,from,zipcode,goal,date,go_out,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr2_1,sinc2_1,intel2_1,fun2_1,amb2_1,shar2_1,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1,dec,attr,sinc,intel,fun,amb,shar,like,prob,met,satis_2,length,numdat_2,you_call,them_cal,date_3,numdat_3,num_in_3
2,2.1,0,1,10,3,11,0,0.29,1,27,2,35,20,20,20,0,5,0,8,7,6,9,7,4,7,2,2,24,law,1,,2,2,5,Alabama,"35,223",1,5,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,45,5,25,20,0,5,65,0,10,25,0,0,7,5,10,8,3,0,5,7,8,4,6,3,6,4,2,5,2,,0,0,0,,
2,2.1,0,1,10,3,12,0,0.18,1,22,2,60,0,0,40,0,0,0,7,6,10,6,6,5,8,4,2,24,law,1,,2,2,5,Alabama,"35,223",1,5,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,45,5,25,20,0,5,65,0,10,25,0,0,7,5,10,8,3,0,8,5,6,6,9,6,7,3,2,5,2,,0,0,0,,
2,2.1,0,1,10,3,13,0,0.1,0,22,4,19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,2,24,law,1,,2,2,5,Alabama,"35,223",1,5,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,45,5,25,20,0,5,65,0,10,25,0,0,7,5,10,8,3,0,5,8,9,6,3,4,6,7,2,5,2,,0,0,0,,
2,2.1,0,1,10,3,14,1,-0.21,1,23,2,30,5,15,40,5,5,1,9,9,9,9,9,9,9,7,2,24,law,1,,2,2,5,Alabama,"35,223",1,5,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,45,5,25,20,0,5,65,0,10,25,0,0,7,5,10,8,3,1,7,9,7,6,5,7,7,8,2,5,2,,0,0,0,,
2,2.1,0,1,10,3,15,0,0.32,0,24,3,30,10,20,10,10,20,1,10,10,10,10,7,8,10,1,1,24,law,1,,2,2,5,Alabama,"35,223",1,5,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,45,5,25,20,0,5,65,0,10,25,0,0,7,5,10,8,3,0,6,8,7,9,7,8,8,6,1,5,2,,0,0,0,,
2,2.1,0,1,10,3,16,0,0.73,1,25,2,50,0,30,10,0,10,1,7,8,7,5,7,7,7,5,2,24,law,1,,2,2,5,Alabama,"35,223",1,5,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,45,5,25,20,0,5,65,0,10,25,0,0,7,5,10,8,3,0,8,7,8,3,6,2,6,5,2,5,2,,0,0,0,,
2,2.1,0,1,10,3,17,0,0.6,1,30,2,35,15,25,10,5,10,0,5,3,4,3,5,3,4,3,2,24,law,1,,2,2,5,Alabama,"35,223",1,5,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,45,5,25,20,0,5,65,0,10,25,0,0,7,5,10,8,3,1,7,5,9,6,7,9,8,7,2,5,2,,0,0,0,,
2,2.1,0,1,10,3,18,0,0.07,1,27,2,33.33,11.11,11.11,11.11,11.11,22.22,1,7,7,7,7,7,5,7,6,2,24,law,1,,2,2,5,Alabama,"35,223",1,5,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,45,5,25,20,0,5,65,0,10,25,0,0,7,5,10,8,3,0,5,8,7,5,9,5,5,6,2,5,2,,0,0,0,,
2,2.1,0,1,10,3,19,1,0.11,1,28,2,50,0,25,10,0,15,1,8,6,9,9,8,7,8,8,2,24,law,1,,2,2,5,Alabama,"35,223",1,5,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,45,5,25,20,0,5,65,0,10,25,0,0,7,5,10,8,3,1,7,6,8,9,4,5,5,6,2,5,2,,0,0,0,,
2,2.1,0,1,10,3,20,0,0.39,1,24,2,100,0,0,0,0,0,0,6,5,7,7,9,7,6,9,2,24,law,1,,2,2,5,Alabama,"35,223",1,5,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,45,5,25,20,0,5,65,0,10,25,0,0,7,5,10,8,3,1,6,7,8,7,9,8,8,7,2,5,2,,0,0,0,,
3,3.1,0,1,10,9,11,0,-0.24,1,27,2,35,20,20,20,0,5,0,7,8,6,5,8,4,5,2,1,25,Economics,2,,2,8,4,Connecticut,"6,268",6,3,1,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,35,10,35,10,10,0,50,0,20,30,0,0,8,9,8,9,8,0,7,9,10,7,8,9,8,7,1,,,,,,,,
3,3.1,0,1,10,9,12,0,-0.14,1,22,2,60,0,0,40,0,0,0,6,7,10,6,6,5,7,3,2,25,Economics,2,,2,8,4,Connecticut,"6,268",6,3,1,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,35,10,35,10,10,0,50,0,20,30,0,0,8,9,8,9,8,0,9,7,9,8,9,7,8,7,2,,,,,,,,
3,3.1,0,1,10,9,13,0,0.09,0,22,4,19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,2,25,Economics,2,,2,8,4,Connecticut,"6,268",6,3,1,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,35,10,35,10,10,0,50,0,20,30,0,0,8,9,8,9,8,0,7,9,9,7,9,7,8,7,2,,,,,,,,
3,3.1,0,1,10,9,14,0,-0.04,1,23,2,30,5,15,40,5,5,1,7,9,8,8,8,8,7,7,2,25,Economics,2,,2,8,4,Connecticut,"6,268",6,3,1,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,35,10,35,10,10,0,50,0,20,30,0,0,8,9,8,9,8,0,9,7,9,7,9,7,8,7,2,,,,,,,,
3,3.1,0,1,10,9,15,0,-0.14,0,24,3,30,10,20,10,10,20,1,6,10,8,6,,,6,1,2,25,Economics,2,,2,8,4,Connecticut,"6,268",6,3,1,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,35,10,35,10,10,0,50,0,20,30,0,0,8,9,8,9,8,0,9,10,10,10,10,10,9,,2,,,,,,,,
3,3.1,0,1,10,9,16,0,-0.3,1,25,2,50,0,30,10,0,10,1,7,6,6,6,6,6,6,7,2,25,Economics,2,,2,8,4,Connecticut,"6,268",6,3,1,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,35,10,35,10,10,0,50,0,20,30,0,0,8,9,8,9,8,0,8,10,10,7,9,9,8,,2,,,,,,,,
3,3.1,0,1,10,9,17,0,-0.26,1,30,2,35,15,25,10,5,10,0,6,3,5,4,5,4,2,2,2,25,Economics,2,,2,8,4,Connecticut,"6,268",6,3,1,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,35,10,35,10,10,0,50,0,20,30,0,0,8,9,8,9,8,0,8,9,10,7,7,9,8,7,2,,,,,,,,
3,3.1,0,1,10,9,18,0,0.29,1,27,2,33.33,11.11,11.11,11.11,11.11,22.22,0,4,5,6,4,6,4,5,1,2,25,Economics,2,,2,8,4,Connecticut,"6,268",6,3,1,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,35,10,35,10,10,0,50,0,20,30,0,0,8,9,8,9,8,0,7,9,9,8,9,7,8,7,2,,,,,,,,
3,3.1,0,1,10,9,19,0,-0.15,1,28,2,50,0,25,10,0,15,1,7,7,6,8,7,7,7,7,2,25,Economics,2,,2,8,4,Connecticut,"6,268",6,3,1,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,35,10,35,10,10,0,50,0,20,30,0,0,8,9,8,9,8,0,9,9,9,9,9,9,9,7,2,,,,,,,,
3,3.1,0,1,10,9,20,0,-0.47,1,24,2,100,0,0,0,0,0,0,5,6,8,5,8,6,5,5,2,25,Economics,2,,2,8,4,Connecticut,"6,268",6,3,1,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,35,10,35,10,10,0,50,0,20,30,0,0,8,9,8,9,8,0,8,7,9,7,9,7,8,7,2,,,,,,,,
4,4.1,0,1,10,6,11,0,-0.18,1,27,2,35,20,20,20,0,5,0,6,7,8,7,7,5,6,3,2,23,Law,1,,2,1,1,Texas,"77,096",1,5,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,8,0,4,10,8,5,8,7,6,7,2,4,3,2,0,0,0,,
4,4.1,0,1,10,6,12,0,-0.18,1,22,2,60,0,0,40,0,0,0,6,5,10,6,6,5,6,3,1,23,Law,1,,2,1,1,Texas,"77,096",1,5,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,8,0,8,7,8,10,7,8,8,1,1,4,3,2,0,0,0,,
4,4.1,0,1,10,6,13,0,0.05,0,22,4,19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,2,23,Law,1,,2,1,1,Texas,"77,096",1,5,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,8,0,4,7,8,8,6,7,4,1,2,4,3,2,0,0,0,,
4,4.1,0,1,10,6,14,1,-0.18,1,23,2,30,5,15,40,5,5,1,7,7,7,9,9,9,8,10,1,23,Law,1,,2,1,1,Texas,"77,096",1,5,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,8,1,8,10,7,10,7,10,8,10,1,4,3,2,0,0,0,,
4,4.1,0,1,10,6,15,0,0.21,0,24,3,30,10,20,10,10,20,1,8,8,9,8,8,9,9,7,2,23,Law,1,,2,1,1,Texas,"77,096",1,5,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,8,0,6,9,8,9,8,9,7,7,2,4,3,2,0,0,0,,
4,4.1,0,1,10,6,16,0,0.37,1,25,2,50,0,30,10,0,10,1,6,6,7,7,8,7,6,6,2,23,Law,1,,2,1,1,Texas,"77,096",1,5,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,8,0,5,10,8,4,8,2,4,3,2,4,3,2,0,0,0,,
4,4.1,0,1,10,6,17,0,0.35,1,30,2,35,15,25,10,5,10,1,7,6,3,5,6,5,6,4,2,23,Law,1,,2,1,1,Texas,"77,096",1,5,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,8,0,7,10,10,7,10,5,5,1,2,4,3,2,0,0,0,,
4,4.1,0,1,10,6,18,0,0.15,1,27,2,33.33,11.11,11.11,11.11,11.11,22.22,0,6,7,8,6,6,5,7,7,2,23,Law,1,,2,1,1,Texas,"77,096",1,5,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,8,0,5,9,9,5,9,7,6,6,2,4,3,2,0,0,0,,
4,4.1,0,1,10,6,19,1,-0.47,1,28,2,50,0,25,10,0,15,1,7,7,7,10,9,10,8,8,2,23,Law,1,,2,1,1,Texas,"77,096",1,5,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,8,1,9,8,10,10,7,8,8,8,2,4,3,2,0,0,0,,
4,4.1,0,1,10,6,20,0,-0.19,1,24,2,100,0,0,0,0,0,0,7,8,8,7,8,7,7,7,2,23,Law,1,,2,1,1,Texas,"77,096",1,5,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,8,1,8,9,10,10,8,8,10,8,2,4,3,2,0,0,0,,
5,5.1,0,1,10,4,11,0,-0.43,1,27,2,35,20,20,20,0,5,0,6,8,8,8,7,6,6,5,2,21,Law,1,,2,8,1,Bowdoin College,"94,022",2,4,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,20,5,25,25,10,15,50,10,10,20,5,5,6,3,6,10,8,0,5,8,8,2,2,2,7,5,2,7,2,2,0,0,0,,
5,5.1,0,1,10,4,12,0,0,1,22,2,60,0,0,40,0,0,0,6,7,10,7,6,5,7,4,1,21,Law,1,,2,8,1,Bowdoin College,"94,022",2,4,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,20,5,25,25,10,15,50,10,10,20,5,5,6,3,6,10,8,0,8,6,6,5,5,5,6,4,1,7,2,2,0,0,0,,
5,5.1,0,1,10,4,13,0,-0.17,0,22,4,19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,1,21,Law,1,,2,8,1,Bowdoin College,"94,022",2,4,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,20,5,25,25,10,15,50,10,10,20,5,5,6,3,6,10,8,0,4,6,8,8,6,5,6,5,1,7,2,2,0,0,0,,
5,5.1,0,1,10,4,14,1,0.08,1,23,2,30,5,15,40,5,5,1,6,8,6,8,10,10,7,7,1,21,Law,1,,2,8,1,Bowdoin College,"94,022",2,4,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,20,5,25,25,10,15,50,10,10,20,5,5,6,3,6,10,8,1,8,5,5,7,7,9,8,2,1,7,2,2,0,0,0,,
5,5.1,0,1,10,4,15,0,-0.16,0,24,3,30,10,20,10,10,20,0,5,9,9,7,9,5,5,7,2,21,Law,1,,2,8,1,Bowdoin College,"94,022",2,4,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,20,5,25,25,10,15,50,10,10,20,5,5,6,3,6,10,8,0,6,7,7,5,4,8,7,4,2,7,2,2,0,0,0,,
5,5.1,0,1,10,4,16,0,0.06,1,25,2,50,0,30,10,0,10,0,5,8,7,7,7,7,6,7,2,21,Law,1,,2,8,1,Bowdoin College,"94,022",2,4,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,20,5,25,25,10,15,50,10,10,20,5,5,6,3,6,10,8,1,5,6,7,5,7,8,7,3,2,7,2,2,0,0,0,,
5,5.1,0,1,10,4,17,0,-0.05,1,30,2,35,15,25,10,5,10,0,2,3,4,4,5,3,3,3,2,21,Law,1,,2,8,1,Bowdoin College,"94,022",2,4,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,20,5,25,25,10,15,50,10,10,20,5,5,6,3,6,10,8,1,6,6,8,5,5,6,6,3,2,7,2,2,0,0,0,,
5,5.1,0,1,10,4,18,0,0.07,1,27,2,33.33,11.11,11.11,11.11,11.11,22.22,0,5,5,6,5,5,5,6,5,2,21,Law,1,,2,8,1,Bowdoin College,"94,022",2,4,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,20,5,25,25,10,15,50,10,10,20,5,5,6,3,6,10,8,1,5,5,7,6,7,5,6,4,2,7,2,2,0,0,0,,
5,5.1,0,1,10,4,19,1,-0.13,1,28,2,50,0,25,10,0,15,1,5,9,9,9,9,6,7,7,2,21,Law,1,,2,8,1,Bowdoin College,"94,022",2,4,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,20,5,25,25,10,15,50,10,10,20,5,5,6,3,6,10,8,1,7,5,7,8,7,9,9,4,2,7,2,2,0,0,0,,
5,5.1,0,1,10,4,20,0,-0.06,1,24,2,100,0,0,0,0,0,0,3,10,7,7,10,5,4,10,2,21,Law,1,,2,8,1,Bowdoin College,"94,022",2,4,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,20,5,25,25,10,15,50,10,10,20,5,5,6,3,6,10,8,1,9,6,7,9,6,5,10,3,2,7,2,2,0,0,0,,
6,6.1,0,1,10,8,11,0,0.33,0,27,2,35,20,20,20,0,5,0,7,9,8,9,8,4,7,4,2,23,law,1,,4,1,1,MD,"20,878",1,3,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,10,25,20,25,5,15,25,10,10,25,10,20,5,7,8,9,5,1,6,9,7,6,7,6,6,6,2,3,3,2,,,,,
6,6.1,0,1,10,8,12,0,0.37,0,22,2,60,0,0,40,0,0,0,6,8,10,6,7,6,7,4,2,23,law,1,,4,1,1,MD,"20,878",1,3,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,10,25,20,25,5,15,25,10,10,25,10,20,5,7,8,9,5,1,6,9,9,6,8,2,7,6,2,3,3,2,,,,,
6,6.1,0,1,10,8,13,0,-0.51,1,22,4,19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,1,23,law,1,,4,1,1,MD,"20,878",1,3,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,10,25,20,25,5,15,25,10,10,25,10,20,5,7,8,9,5,0,4,7,9,4,3,2,6,2,1,3,3,2,,,,,
6,6.1,0,1,10,8,14,1,0.12,0,23,2,30,5,15,40,5,5,1,6,8,8,7,9,8,7,7,2,23,law,1,,4,1,1,MD,"20,878",1,3,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,10,25,20,25,5,15,25,10,10,25,10,20,5,7,8,9,5,1,8,6,7,8,2,8,9,4,2,3,3,2,,,,,
6,6.1,0,1,10,8,15,0,0.35,0,24,3,30,10,20,10,10,20,1,9,7,9,7,9,6,9,2,1,23,law,1,,4,1,1,MD,"20,878",1,3,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,10,25,20,25,5,15,25,10,10,25,10,20,5,7,8,9,5,0,5,4,8,8,4,2,4,3,1,3,3,2,,,,,
6,6.1,0,1,10,8,16,0,0.19,0,25,2,50,0,30,10,0,10,1,6,6,8,8,8,7,6,6,2,23,law,1,,4,1,1,MD,"20,878",1,3,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,10,25,20,25,5,15,25,10,10,25,10,20,5,7,8,9,5,0,3,7,6,1,1,1,2,2,2,3,3,2,,,,,
6,6.1,0,1,10,8,17,0,0.47,0,30,2,35,15,25,10,5,10,0,5,6,8,4,5,4,3,3,2,23,law,1,,4,1,1,MD,"20,878",1,3,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,10,25,20,25,5,15,25,10,10,25,10,20,5,7,8,9,5,1,8,8,8,8,3,4,8,7,2,3,3,2,,,,,
6,6.1,0,1,10,8,18,0,0.03,0,27,2,33.33,11.11,11.11,11.11,11.11,22.22,0,6,7,8,7,8,5,7,6,2,23,law,1,,4,1,1,MD,"20,878",1,3,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,10,25,20,25,5,15,25,10,10,25,10,20,5,7,8,9,5,0,4,8,9,2,8,3,5,5,2,3,3,2,,,,,
6,6.1,0,1,10,8,19,1,0.46,0,28,2,50,0,25,10,0,15,1,6,7,7,6,6,6,6,6,2,23,law,1,,4,1,1,MD,"20,878",1,3,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,10,25,20,25,5,15,25,10,10,25,10,20,5,7,8,9,5,1,7,6,8,8,6,9,9,6,2,3,3,2,,,,,
6,6.1,0,1,10,8,20,0,0.43,0,24,2,100,0,0,0,0,0,0,7,10,10,6,10,7,6,7,2,23,law,1,,4,1,1,MD,"20,878",1,3,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,10,25,20,25,5,15,25,10,10,25,10,20,5,7,8,9,5,1,8,9,9,9,10,7,9,8,2,3,3,2,,,,,
7,7.1,0,1,10,5,11,0,0.19,0,27,2,35,20,20,20,0,5,0,7,8,8,8,7,7,7,4,2,22,Law,1,,4,2,4,Southern California,"91,360",1,5,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,15,15,25,20,15,10,30,12,13,25,10,10,6,6,5,7,7,0,4,8,8,5,7,4,7,4,2,,,,,,,,
7,7.1,0,1,10,5,12,0,0.21,0,22,2,60,0,0,40,0,0,1,7,9,10,6,6,5,8,4,1,22,Law,1,,4,2,4,Southern California,"91,360",1,5,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,15,15,25,20,15,10,30,12,13,25,10,10,6,6,5,7,7,0,6,6,8,4,9,4,7,3,1,,,,,,,,
7,7.1,0,1,10,5,13,0,0.52,1,22,4,19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,2,22,Law,1,,4,2,4,Southern California,"91,360",1,5,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,15,15,25,20,15,10,30,12,13,25,10,10,6,6,5,7,7,0,3,6,8,7,8,8,7,8,1,,,,,,,,
7,7.1,0,1,10,5,14,1,-0.46,0,23,2,30,5,15,40,5,5,1,8,8,9,8,9,9,8,7,1,22,Law,1,,4,2,4,Southern California,"91,360",1,5,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,15,15,25,20,15,10,30,12,13,25,10,10,6,6,5,7,7,1,7,8,8,7,7,6,8,6,1,,,,,,,,
7,7.1,0,1,10,5,15,0,-0.27,0,24,3,30,10,20,10,10,20,1,8,7,9,6,9,5,8,4,2,22,Law,1,,4,2,4,Southern California,"91,360",1,5,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,15,15,25,20,15,10,30,12,13,25,10,10,6,6,5,7,7,0,4,7,7,4,8,5,5,6,1,,,,,,,,
7,7.1,0,1,10,5,16,0,0.59,0,25,2,50,0,30,10,0,10,1,8,8,8,6,6,6,7,7,2,22,Law,1,,4,2,4,Southern California,"91,360",1,5,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,15,15,25,20,15,10,30,12,13,25,10,10,6,6,5,7,7,0,4,8,7,4,5,4,5,5,2,,,,,,,,
7,7.1,0,1,10,5,17,0,0.31,0,30,2,35,15,25,10,5,10,0,7,6,5,4,4,3,5,4,2,22,Law,1,,4,2,4,Southern California,"91,360",1,5,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,15,15,25,20,15,10,30,12,13,25,10,10,6,6,5,7,7,1,7,7,8,7,7,7,8,7,2,,,,,,,,
7,7.1,0,1,10,5,18,0,0.08,0,27,2,33.33,11.11,11.11,11.11,11.11,22.22,1,8,7,6,7,7,5,7,5,2,22,Law,1,,4,2,4,Southern California,"91,360",1,5,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,15,15,25,20,15,10,30,12,13,25,10,10,6,6,5,7,7,0,5,7,8,5,9,5,5,7,2,,,,,,,,
